"Timestamp","Año de nacimiento","Género","¿Cuántos hermanos tienes?","Orden de nacimiento","Durante la mayor parte de tu infancia, ¿cuál era la situación de tu familia?","¿A qué edad tuvo tu MADRE su primer hijo/a?","¿A qué edad tuvo tu PADRE su primer hijo/a?","¿Cuál es el nivel de estudios máximo obtenido por tu madre?","¿Cuál es el nivel de estudios máximo obtenido por tu padre?","¿Qué tipo de educación recibió tu madre?","¿Qué tipo de educación recibió tu padre?","¿Cuál era la profesion principal de tu madre?","¿Cuál era la profesion principal de tu padre?","¿Cuántas personas trabajaban en tu hogar a tiempo completo?","¿Cuántas personas trabajaban en tu hogar a tiempo parcial?","¿En qué categoría clasificarías la situación económica de tu familia durante tu infancia?","¿Cuál era la situación de tu familia en cuanto a vivienda?","Indica el código postal (o códigos postales) de tu casa durante tu infancia.","¿A qué edad empezaste a trabajar?","¿Has terminado de estudiar?","Si has terminado de estudiar, ¿cuál es tu grado máximo de estudios?","Si no has terminado de estudiar, ¿qué tipo de estudios estás cursando ahora mismo?","¿Has cursado otras modalidades de bachillerato?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio público?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio concertado religioso?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio concertado laico?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio privado religioso?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio privado laico?","Durante tu educación primaria y secundaria, ¿recibiste alguna de las siguientes?","¿Practicabas algún deporte de manera extraescolar?","¿Has hecho selectividad?","Si hiciste la selectividad en 2009 o antes, ¿cuál fue tu nota?","Si hiciste la selectividade en 2010 o en adelante, ¿cuál fue tu nota?","Si accediste a la universidad, ¿a qué titulación?","¿Accediste a la universidad el primer año que solicitaste?","Si no accediste a la primera, ¿cuántas veces solicitaste la entrada?","¿Fue tu primera opción?","Si no fue tu primera opción, ¿cuál fue?"
"2019/01/14 1:35:12 PM GMT+1","1990","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","29","30","Ciclo formativo de grado medio (FP)","Ciclo formativo de grado superior (FP)","Pública","Pública","Dependienta tienda propia","Ferroviario ","3","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","43770","16","No","","Grado universitario","No","10","0","0","0","2","Clases de refuerzo","Si","Sí","6,5 - 7","","Pedagogía","Sí","","Sí",""
"2019/01/14 1:39:57 PM GMT+1","1997","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","25","27","Grado universitario, licenciatura o ingeniería superior","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Privada religiosa","Pública","Insertora social","Extructor plástico ","0","2","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","08191","20","Sí","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","","No","10","0","0","0","0","Clases de refuerzo","No","No","No lo recuerdo","","","","","","Segunda"
"2019/01/14 1:44:41 PM GMT+1","1991","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","25","40","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Fabrica textil","Almacén textil","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08210","23","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","12","0","0","0","0","Clases de refuerzo","Si","Sí","No lo recuerdo","6 - 6,5","Arqueología","Sí","","Sí",""
"2019/01/14 1:47:15 PM GMT+1","1967","Mujer","2","Mayor","Padres divorciados o separados viviendo por separado sin pareja.","26","27","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","Concertada religiosa","Ama de casa","Director en una compañía seguros","1","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08025","18","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","3","0","0","0","8","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","7 - 7,5","","Turismo","Sí","","Sí",""
"2019/01/14 1:56:52 PM GMT+1","1982","Mujer","3","1977,1982 y 1990","Padres conviviendo como pareja, casados o pareja de hecho.","24","27","Bachillerato o Curso de Orientación Universitaria (COU)","Máster universitario","Concertada religiosa","Pública","Logopeda y infermera","Doctor. Pediatria","1","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","0822","24","Sí","Ciclo formativo de grado superior (FP)","","No","0","0","0","0","2","Logopedia o Psicopedagogía","No","No","No lo recuerdo","","Psicología ","Sí","","Sí",""
"2019/01/14 1:58:37 PM GMT+1","1984","Hombre","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","17","24","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Panadera","Pintor","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08210","16","No","Ciclo formativo de grado superior (FP)","Grado universitario","No","12","0","0","0","0","Logopedia o Psicopedagogía","No","No","","","Educacion Social","Sí","","","Segunda"
"2019/01/14 2:00:03 PM GMT+1","2000","Hombre","0","1","Padres divorciados y los dos con otras parejas.","17","No me acuerdo","No lo sé","No lo sé","No lo sé","No lo sé","Ams de casa","jardinero","3","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","08172","17 ","Sí","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","","No","10","0","0","0","0","Clases de refuerzo","No","No","","","","","","","Segunda"
"2019/01/14 2:04:48 PM GMT+1","1996","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","21","23","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","Pública","Tintorera","Pastelero","2","1","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Otras situaciones","08172","18","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","10","0","2","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","","5,5 - 6","Enfermeria","Sí","","No","Segunda"
"2019/01/14 2:07:40 PM GMT+1","1971","Mujer","2","3","Padres conviviendo como pareja, casados o pareja de hecho.","27","28","No lo sé","Bachillerato o Curso de Orientación Universitaria (COU)","No lo sé","No lo sé","Ama de casa","Jefe Administrativo de Personal","0","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08191 ","24","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","10","0","0","4","0","Ninguna","No","Sí","8 - 8,5","","Publicidad","Sí","","Sí",""
"2019/01/14 2:10:34 PM GMT+1","1989","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","21","24","Ciclo formativo de grado medio (FP)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Limpiadora","Frigorista industrial","Todos","Ninguna","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08020","14 ","No","","Ciclo formativo de grado superior (FP)","No","2","8","0","8","0","Ninguna","Si","No","","","","","","","Tercera"
"2019/01/14 2:15:49 PM GMT+1","1979","Mujer","2","La mayor","Padres conviviendo como pareja, casados o pareja de hecho.","21","24","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Fabricas","Funcionario","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08191","18","Sí","Diplomatura o ingeniería técnica","","No","4","8","0","8","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","<5","","Enfermeria","Sí","","Sí",""
"2019/01/14 2:19:20 PM GMT+1","1975","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","23","25","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Concertada religiosa","Pública","Hiladora","Albañil","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","08202","17","Sí","Diplomatura o ingeniería técnica","","No","0","5","0","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","","6 - 6,5","","Sí","","Sí",""
"2019/01/14 2:20:59 PM GMT+1","1969","Mujer","3","1ª","Padres conviviendo como pareja, casados o pareja de hecho.","29","32","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Empleado Banca","1","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Propiedad","08027","16","Sí","Ciclo formativo de grado superior (FP)","","No","7","8","3","0","0","Ninguna","Si","No","","","","","","","Segunda"
"2019/01/14 2:24:02 PM GMT+1","1980","Mujer","2","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","29","Ciclo formativo de grado superior (FP)","Máster universitario","Concertada religiosa","Privada religiosa","Administrativa","Abogado","3","0","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Propiedad","09190","21","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","9","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","6 - 6,5","","Derecho","Sí","","Sí",""
"2019/01/14 2:27:55 PM GMT+1","1954","Mujer","5","5","Padres conviviendo como pareja, casados o pareja de hecho.","18","24","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Empleada textil","Tranvias","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","08014","18","Sí","Diplomatura o ingeniería técnica","","No","0","12","0","0","0","Clases de refuerzo","No","Sí","8,5 - 9","","Licenciatura Economía","Sí","","Sí",""
"2019/01/14 2:32:06 PM GMT+1","1989","Mujer","5","5","Padres conviviendo como pareja, casados o pareja de hecho.","19","20","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Paleta","6","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","08003","17","No","","Grado universitario","No","12","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","","6 - 6,5","Biologia","Sí","","Sí",""
"2019/01/14 2:34:37 PM GMT+1","1999","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","27","Bachillerato o Curso de Orientación Universitaria (COU)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Privada religiosa","Pública","Autónoma ","Autónomo ","3","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08173","19","No","","Ciclo formativo de grado superior (FP)","No","0","1","0","1","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","","","","","Octava"
"2019/01/14 2:37:06 PM GMT+1","1988","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","30","28","Máster universitario","Máster universitario","Privada laica","Privada religiosa","Farmaceutica","Farmaceutico","2","2","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08172","16","No","Grado universitario,  licenciatura o ingeniería técnica","Doctorado","No","0","0","0","0","10","Clases de refuerzo","Si","Sí","7,5 - 8","","Farmacia","Sí","","Sí",""
"2019/01/14 2:39:46 PM GMT+1","1970","Mujer","4","5","Padres conviviendo como pareja, casados o pareja de hecho.","20","25","No terminó la Educación Primaria o Educación General Básica (EGB)","No terminó la Educación Primaria o Educación General Básica (EGB)","Pública","Pública","ama de casa","albañil","1","0","Lográbamos cubrir nuestras necesidades básicas, pero no nos podíamos permitir ningún lujo.","Alquiler","08190","19","Sí","Educación Primaria o Educación General Básica (EGB)","","No","0","5","0","0","0","Ninguna","Si","No","","","","","","","Segunda"
"2019/01/14 3:04:17 PM GMT+1","1956","Mujer","3","4","Padres conviviendo como pareja, casados o pareja de hecho.","23","23","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Bachillerato o Curso de Orientación Universitaria (COU)","Pública","Pública","Ama de casa","Comercio","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Alquiler","017","17","Sí","Bachillerato o Curso de Orientación Universitaria (COU)","","No","0","0","0","0","7","Clases de refuerzo","No","Sí","","","Medicina","No","2","Sí",""
"2019/01/14 3:06:22 PM GMT+1","1990","Hombre","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","28","31","No terminó la Educación Primaria o Educación General Básica (EGB)","Ciclo formativo de grado superior (FP)","Pública","Pública","Cadena montaje","Moldeador piezas coche","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08130","20","No","Grado universitario,  licenciatura o ingeniería técnica","Máster Universitario","No","2","12","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","5 - 5,5","","Historia","No","2","Sí",""
"2019/01/14 3:08:35 PM GMT+1","1993","Hombre","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","24","26","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Pública","Concertada religiosa","Secretaria","Logistica","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08130","18","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","0","9","0","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","","5,5 - 6","Fisioterapia","Sí","","Sí",""
"2019/01/14 3:08:55 PM GMT+1","03/04/1984","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","36","44","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Grado universitario, licenciatura o ingeniería superior","Pública","Privada religiosa","Secretaria","Ingeniero quimico","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08172","18","No","","Grado universitario","No","0","0","0","0","10","Ninguna","Si","Sí","7 - 7,5","10 - 10,5","Grado de biologia","No","2","No","Segunda"
"2019/01/14 3:09:52 PM GMT+1","1987","Mujer","1","Mayor","Padres conviviendo como pareja, casados o pareja de hecho.","20","30","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","No terminó la Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Fabricas","Avícola ","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08231","16","Sí","Ciclo formativo de grado medio (FP)","","No","10","0","0","0","2","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","","","","","Segunda"
"2019/01/14 3:11:14 PM GMT+1","1987","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","25","26","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Contable","Carpintero","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08223","17","Sí","Máster Universitario","","No","0","0","12","0","0","Ninguna","Si","Sí","7 - 7,5","","Derecho","Sí","","Sí",""
"2019/01/14 3:11:23 PM GMT+1","1992","Hombre","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","28","Educación Primaria o Educación General Básica (EGB)","Grado universitario, licenciatura o ingeniería superior","Concertada religiosa","No lo sé","Cocinera","Informarico","3","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08130","17","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","2","0","10","0","0","Clases de refuerzo","Si","Sí","","10,5 - 11","Geología","Sí","","Sí",""
"2019/01/14 3:13:36 PM GMT+1","1961","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","25","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Metal.lurgic","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08912","22","Sí","Diplomatura o ingeniería técnica","","No","0","0","0","8","0","Ninguna","Si","Sí","9 - 9,5","","Professora de primària ","Sí","","Sí",""
"2019/01/14 3:14:48 PM GMT+1","1960","Mujer","4","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","30","Bachillerato o Curso de Orientación Universitaria (COU)","Grado universitario, licenciatura o ingeniería superior","Concertada religiosa","Privada laica","Secretaria","Empresari","2","0","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Propiedad","08192","23","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","9","0","0","0","Ninguna","No","Sí","7,5 - 8","","Pedagogia","Sí","","Sí",""
"2019/01/14 3:18:41 PM GMT+1","1977","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","24","24","Educación Primaria o Educación General Básica (EGB)","Ciclo formativo de grado medio (FP)","Pública","Pública","Ama de casa","Empresario","2","0","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Propiedad","08184","17","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","9","0","0","3","0","Ninguna","No","Sí","6,5 - 7","","Ingeniería Informática","Sí","","Sí",""
"2019/01/14 3:23:30 PM GMT+1","1991","Mujer","2","3","Padres conviviendo como pareja, casados o pareja de hecho.","25","27","Grado universitario, licenciatura o ingeniería superior","Máster universitario","Privada laica","Privada laica","Ama de casa","Director empresa","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08172","16","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","0","10","0","2","Ninguna","Si","Sí","6,5 - 7","","Educació social","Sí","","Sí",""
"2019/01/14 3:23:52 PM GMT+1","1974","Hombre","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","29","28","Grado universitario, licenciatura o ingeniería superior","Grado universitario, licenciatura o ingeniería superior","Concertada religiosa","Concertada religiosa","Profesora","Ingeniero industrial","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","No lo se","21","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","1","0","1","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","","","Veterinaria","Sí","","Sí",""
"2019/01/14 3:24:09 PM GMT+1","1952","Mujer","1","2","Padres conviviendo como pareja, casados o pareja de hecho.","26","28","Bachillerato o Curso de Orientación Universitaria (COU)","Diplomatura o ingeniería técnica","Pública","Privada religiosa","Ama de casa","Ayudante técnico sanitario","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","O8032","19","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","0","0","0","7","Clases de refuerzo","No","No","","","Medicina","Sí","","Sí",""
"2019/01/14 3:24:13 PM GMT+1","1973","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","27","Diplomatura o ingeniería técnica","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Concertada religiosa","Concertada religiosa","Enfermera","Comercial","2","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Alquiler","No lo se","17","No","","Grado universitario","No","2","0","8","0","0","Clases de refuerzo","Si","No","","","","","","Sí",""
"2019/01/14 3:25:12 PM GMT+1","1988","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","28","30","Bachillerato o Curso de Orientación Universitaria (COU)","Educación Primaria o Educación General Básica (EGB)","Privada religiosa","Pública","Secretaria","Peón de producción ","2","0","Nos podíamos permitir todavía más lujos (múltiples vacaciones anuales, varios coches).","Propiedad","08120","22","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","0","0","12","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","Grado en Turismo","Sí","","Sí",""
